duration,input.bin,input.doc_len,input.document_id,input.document_title,input.index,input.query_id,input.topic_description,input.topic_query,job,output.relevant_snippets,output.relevant_snippets.annotations,output.relevant_snippets.unique_annotations,worker,uqs,unit_annotation_score,uqs_initial,unit_annotation_score_initial,max_relevance_score,none_score,nist_rel,nist_rel_binary,crowd_rel_binary,crowd_rel_ternary
51.4285714286,1,118,269,Tower of Pisa Leans A Little More in '86,2466,677,"What efforts have been made to stabilize the Leaning Tower of Pisa, and how successful have the efforts been?",Leaning Tower of Pisa,../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'s2': 3, 'none': 3, 's4': 3, 's3': 2, 's1': 2})",13,5,7,0.3594344545,"Counter({'none': 0.5937571140189918, 's2': 0.33084074598708696, 's4': 0.28774679837365363, 's3': 0.24207972954474433, 's1': 0.19389822760127587})",0.2956146723,"Counter({'s2': 0.42857142857142855, 'none': 0.42857142857142855, 's4': 0.42857142857142855, 's3': 0.2857142857142857, 's1': 0.2857142857142857})",0.330840746,0.593757114,0,0,0,0
37.1428571429,1,148,553,PATENTS,3683,439,What new inventions or scientific discoveries have been made?,"inventions, scientific discoveries",../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'s1': 5, 's3': 4, 's2': 3, 'none': 1})",13,4,7,0.53403857,"Counter({'s1': 0.7828090635807072, 's3': 0.6680305478456581, 's2': 0.5543256117669084, 'none': 0.10741416090525416})",0.4518857601,"Counter({'s1': 0.7142857142857143, 's3': 0.5714285714285714, 's2': 0.42857142857142855, 'none': 0.14285714285714285})",0.7828090636,0.1074141609,1,1,1,1
31,1,136,1375,3 Are Killed in Rebel Attack On Peru Hydroelectric Site,3214,307,"Identify hydroelectric projects proposed or under construction by country and location. Detailed description of nature, extent, purpose, problems, and consequences is desirable.",New Hydroelectric Projects,../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'s3': 5, 's2': 4, 's1': 4, 's4': 3, 'none': 2})",18,5,7,0.4262055263,"Counter({'s3': 0.7270587857925759, 's1': 0.6196030204165915, 's2': 0.568491230189398, 's4': 0.4079151002738158, 'none': 0.2729412142074242})",0.4176060341,"Counter({'s3': 0.7142857142857143, 's2': 0.5714285714285714, 's1': 0.5714285714285714, 's4': 0.42857142857142855, 'none': 0.2857142857142857})",0.7270587858,0.2729412142,1,1,1,1
34.4285714286,1,218,1401,10 Injured in Crash Of 5 Buses in Jersey,5603,363,What disasters have occurred in tunnels used for transportation?,transportation tunnel disasters,../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'s1': 4, 'none': 3, 's3': 3, 's2': 3, 's4': 3, 's6': 2, 's5': 2, 's7': 1})",21,8,7,0.3309977277,"Counter({'s1': 0.5470368556171269, 'none': 0.4529631443828731, 's4': 0.45134744562395623, 's3': 0.43439430602308876, 's2': 0.43439430602308876, 's6': 0.2840163365044395, 's5': 0.2840163365044395, 's7': 0.1883269265112689})",0.3252266964,"Counter({'s1': 0.5714285714285714, 'none': 0.42857142857142855, 's3': 0.42857142857142855, 's2': 0.42857142857142855, 's4': 0.42857142857142855, 's6': 0.2857142857142857, 's5': 0.2857142857142857, 's7': 0.14285714285714285})",0.5470368556,0.4529631444,0,0,1,1
36.8571428571,1,207,2521,Search Begins for A New C.I.A. Chief,5393,310,Evidence that radio waves from radio towers or car (mobile) phones affect brain cancer occurrence.,Radio Waves and Brain Cancer,../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'none': 4, 's2': 3, 's3': 2, 's1': 2, 's4': 2, 's5': 1})",14,6,7,0.4392112533,"Counter({'none': 0.688338158460307, 's2': 0.31166184153969306, 's3': 0.20974514555139634, 's1': 0.20974514555139634, 's4': 0.17560290237323886, 's5': 0.07368620638494211})",0.3721571663,"Counter({'none': 0.5714285714285714, 's2': 0.42857142857142855, 's3': 0.2857142857142857, 's1': 0.2857142857142857, 's4': 0.2857142857142857, 's5': 0.14285714285714285})",0.3116618415,0.6883381585,0,0,0,0
83.7142857143,1,390,2935,IRAN: ADRIFT IN A SEA OF BLOOD' ON 13,8821,330,"This query is looking for examples of cooperation or friendly ties between Iran and Iraq, or ways in which the two countries could be considered allies.",Iran-Iraq Cooperation,../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'none': 6, 's3': 1, 's2': 1, 's1': 1, 's7': 1, 's6': 1, 's5': 1})",12,7,7,0.7552787155,"Counter({'none': 0.8843787774192684, 's3': 0.11562122258073163, 's2': 0.11562122258073163, 's1': 0.11562122258073163, 's7': 0.11562122258073163, 's6': 0.11562122258073163, 's5': 0.11562122258073163})",0.7142857143,"Counter({'none': 0.8571428571428571, 's3': 0.14285714285714285, 's2': 0.14285714285714285, 's1': 0.14285714285714285, 's7': 0.14285714285714285, 's6': 0.14285714285714285, 's5': 0.14285714285714285})",0.1156212226,0.8843787774,0,0,0,0
35.1428571429,1,131,3060,Ex-Im Tie to Tool Group,3004,414,How much sugar does Cuba export and which countries import it?,"Cuba, sugar, exports",../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'s3': 3, 's2': 3, 's1': 3, 'none': 3})",12,4,7,0.3888766564,"Counter({'none': 0.6103080105119492, 's2': 0.317361836862901, 's3': 0.3045472194993522, 's1': 0.3045472194993522})",0.3232235095,"Counter({'s3': 0.42857142857142855, 's2': 0.42857142857142855, 's1': 0.42857142857142855, 'none': 0.42857142857142855})",0.3173618369,0.6103080105,0,0,0,0
81.7142857143,1,197,3551,Robins Deadline,5160,330,"This query is looking for examples of cooperation or friendly ties between Iran and Iraq, or ways in which the two countries could be considered allies.",Iran-Iraq Cooperation,../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'s2': 3, 's1': 3, 'none': 3})",9,3,7,0.3260168604,"Counter({'none': 0.5243230642985987, 's1': 0.3893872607697541, 's2': 0.34834321116992895})",0.3251631964,"Counter({'s2': 0.42857142857142855, 's1': 0.42857142857142855, 'none': 0.42857142857142855})",0.3893872608,0.5243230643,0,0,0,1
83.4285714286,1,377,4050,"250,000 AUDI CARS WILL BE RECALLED",8553,397,Identify documents that discuss the reasons for automobile recalls.,automobile recalls,../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'s3': 5, 's2': 4, 's1': 4, 's5': 4, 's4': 4, 's10': 3, 's6': 3, 's11': 3, 's7': 2, 'none': 2, 's12': 2, 's9': 1})",37,12,7,0.4849390991,"Counter({'s3': 0.8458366987889959, 's2': 0.7655534703353826, 's1': 0.7655534703353826, 's4': 0.7655534703353826, 's5': 0.6849142637674068, 's10': 0.6046310353137934, 's11': 0.6046310353137934, 's7': 0.4974528071507545, 's6': 0.44180040487232963, 's12': 0.3346221767092909, 'none': 0.154163301211004, 's9': 0.08028322845361341})",0.3471611959,"Counter({'s3': 0.7142857142857143, 's2': 0.5714285714285714, 's1': 0.5714285714285714, 's5': 0.5714285714285714, 's4': 0.5714285714285714, 's10': 0.42857142857142855, 's6': 0.42857142857142855, 's11': 0.42857142857142855, 's7': 0.2857142857142857, 'none': 0.2857142857142857, 's12': 0.2857142857142857, 's9': 0.14285714285714285})",0.8458366988,0.1541633012,2,1,1,1
75.1428571429,1,439,4422,Only Another Footnote in Africa?,9772,443,What is the extent of U.S. (government and private) investment in sub-Saharan Africa?,"U.S., investment, Africa",../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'s1': 5, 's6': 5, 's5': 5, 's4': 5, 's3': 4, 's2': 4, 'none': 1})",29,7,7,0.570992234,"Counter({'s1': 0.8130998143698704, 's6': 0.8130998143698704, 's4': 0.8130998143698704, 's5': 0.6398880087413021, 's3': 0.5757443650773556, 's2': 0.5599940358344933, 'none': 0.10700621272332086})",0.5127060536,"Counter({'s1': 0.7142857142857143, 's6': 0.7142857142857143, 's5': 0.7142857142857143, 's4': 0.7142857142857143, 's3': 0.5714285714285714, 's2': 0.5714285714285714, 'none': 0.14285714285714285})",0.8130998144,0.1070062127,1,1,1,1
42,1,296,4517,Fuming,7101,345,"Health studies primarily in the U.S. have caused reductions in tobacco sales here, but the economic impact has caused U.S. tobacco companies to look overseas for customers. What impact have the health and economic factors had overseas?",Overseas Tobacco Sales,../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'s3': 4, 's1': 4, 's5': 4, 'none': 3, 's2': 3, 's4': 3})",21,6,7,0.3977303802,"Counter({'s3': 0.5643368750154234, 's1': 0.5643368750154234, 's5': 0.5643368750154234, 's2': 0.45599648182685937, 's4': 0.45599648182685937, 'none': 0.43566312498457666})",0.3963709527,"Counter({'s3': 0.5714285714285714, 's1': 0.5714285714285714, 's5': 0.5714285714285714, 'none': 0.42857142857142855, 's2': 0.42857142857142855, 's4': 0.42857142857142855})",0.564336875,0.435663125,0,0,1,1
56.8571428571,1,269,5062,"William Latham, 83; Guided Niagara Project",6648,307,"Identify hydroelectric projects proposed or under construction by country and location. Detailed description of nature, extent, purpose, problems, and consequences is desirable.",New Hydroelectric Projects,../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'s3': 4, 's4': 4, 'none': 3, 's2': 3, 's1': 3, 's7': 3, 's6': 3, 's5': 3})",26,8,7,0.3691836402,"Counter({'s3': 0.5643368750154234, 's4': 0.5643368750154234, 's2': 0.45599648182685937, 's1': 0.45599648182685937, 's6': 0.45599648182685937, 's5': 0.45599648182685937, 'none': 0.43566312498457666, 's7': 0.41970229063088577})",0.3634453363,"Counter({'s3': 0.5714285714285714, 's4': 0.5714285714285714, 'none': 0.42857142857142855, 's2': 0.42857142857142855, 's1': 0.42857142857142855, 's7': 0.42857142857142855, 's6': 0.42857142857142855, 's5': 0.42857142857142855})",0.564336875,0.435663125,0,0,1,1
53.8571428571,1,149,5116,110 Birds in Whooping Cranes Flock,3725,347,The spotted owl episode in America highlighted U.S. efforts to prevent the extinction of wildlife species. What is not well known is the effort of other countries to prevent the demise of species native to their countries. What other countries have begun efforts to prevent such declines?,Wildlife Extinction,../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'s1': 4, 's5': 4, 'none': 3, 's3': 3, 's2': 3, 's4': 2})",19,6,7,0.3727823842,"Counter({'s1': 0.5643368750154234, 's5': 0.5643368750154234, 's3': 0.45599648182685937, 's2': 0.45599648182685937, 'none': 0.43566312498457666, 's4': 0.31136189744232173})",0.3695653442,"Counter({'s1': 0.5714285714285714, 's5': 0.5714285714285714, 'none': 0.42857142857142855, 's3': 0.42857142857142855, 's2': 0.42857142857142855, 's4': 0.2857142857142857})",0.564336875,0.435663125,0,0,1,1
37.7142857143,1,423,6243,STORM'S SWIFTNESS A FACTOR,9485,408,What tropical storms (hurricanes and typhoons) have caused significant property damage and loss of life?,tropical storms,../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'s3': 4, 's7': 4, 's4': 4, 'none': 3, 's2': 3, 's1': 3, 's8': 2, 's6': 2, 's5': 2})",27,9,7,0.3626745886,"Counter({'s3': 0.5643368750154234, 's7': 0.5643368750154234, 's4': 0.5643368750154234, 's2': 0.45599648182685937, 's1': 0.45599648182685937, 'none': 0.43566312498457666, 's8': 0.31136189744232173, 's6': 0.31136189744232173, 's5': 0.31136189744232173})",0.3609752557,"Counter({'s3': 0.5714285714285714, 's7': 0.5714285714285714, 's4': 0.5714285714285714, 'none': 0.42857142857142855, 's2': 0.42857142857142855, 's1': 0.42857142857142855, 's8': 0.2857142857142857, 's6': 0.2857142857142857, 's5': 0.2857142857142857})",0.564336875,0.435663125,0,0,1,1
71.2857142857,1,180,8634,SAMUEL G. FUQUA,4731,442,Find accounts of selfless heroic acts by individuals or small groups for the benefit of others or a cause.,heroic acts,../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'s3': 5, 's2': 5, 's1': 5, 'none': 2})",17,4,7,0.6205351624,"Counter({'s3': 0.8005422823990723, 's2': 0.8005422823990723, 's1': 0.8005422823990723, 'none': 0.19945771760092773})",0.5238095238,"Counter({'s3': 0.7142857142857143, 's2': 0.7142857142857143, 's1': 0.7142857142857143, 'none': 0.2857142857142857})",0.8005422824,0.1994577176,2,1,1,1
72.1428571429,1,397,9862,Two Captives,8976,354,"Identify instances where a journalist has been put at risk (e.g., killed, arrested or taken hostage) in the performance of his work.",journalist risks,../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'s4': 4, 's3': 3, 's2': 3, 's1': 3, 'none': 3})",16,5,7,0.423590074,"Counter({'s4': 0.7586405782888601, 's3': 0.5882346321087479, 's2': 0.5882346321087479, 's1': 0.5882346321087479, 'none': 0.24135942171113986})",0.3571428571,"Counter({'s4': 0.5714285714285714, 's3': 0.42857142857142855, 's2': 0.42857142857142855, 's1': 0.42857142857142855, 'none': 0.42857142857142855})",0.7586405783,0.2413594217,1,1,1,1
24.2857142857,1,64,13261,Hudson Crossings Strained,687,363,What disasters have occurred in tunnels used for transportation?,transportation tunnel disasters,../crowdsourcing_data/Main_Bin1/bin1_combinedfile_nist_only_anonymized,"Counter({'none': 5, 's3': 2, 's2': 2, 's1': 2})",11,4,7,0.568688078,"Counter({'none': 0.7625187370123089, 's3': 0.23748126298769118, 's2': 0.23748126298769118, 's1': 0.23748126298769118})",0.5238095238,"Counter({'none': 0.7142857142857143, 's3': 0.2857142857142857, 's2': 0.2857142857142857, 's1': 0.2857142857142857})",0.237481263,0.762518737,0,0,0,0
