query_id,document_id,crowd_rel_ternary
625,32,0
358,43,1
677,269,0
439,553,1
658,580,1
384,888,1
349,906,1
361,965,0
669,1075,1
307,1375,1
363,1401,1
413,1436,2
358,1470,1
377,1477,0
405,1496,1
332,1500,1
609,1586,0
418,1718,1
697,1771,1
370,2040,2
418,2292,1
310,2521,0
346,2542,0
330,2935,0
650,2957,2
414,3060,0
430,3438,0
346,3438,0
330,3551,1
359,3941,0
397,4050,1
650,4113,0
443,4422,1
345,4517,1
648,4753,1
684,4753,1
644,4884,1
648,4893,1
673,4985,1
307,5062,1
407,5116,0
347,5116,1
351,5167,1
403,5994,1
448,6016,1
413,6122,0
332,6155,2
408,6243,1
448,6569,0
392,6646,1
668,6751,0
619,7414,1
658,7616,1
609,7618,2
417,7640,0
672,7670,1
328,7821,2
413,7923,1
332,7957,1
442,8584,0
442,8634,1
698,9099,1
359,9303,0
354,9862,1
413,9971,1
425,11292,2
624,11317,1
658,11440,1
386,11474,1
664,11510,1
610,11834,1
413,11952,0
366,12695,1
657,12882,0
664,12985,1
657,13060,0
363,13261,0
307,13335,1
343,13345,1
334,13415,1
439,13671,2
391,13776,1
606,13800,1
666,13801,0
343,13830,0
664,14339,1
436,14454,1
431,14698,0
392,14698,0
436,14873,1
640,15009,1
411,15324,1
435,15338,1
448,15351,0
608,15561,1
341,15619,1
357,15779,0
608,15798,1
448,16066,1
313,16083,1
325,16127,0
325,16519,0
366,16565,1
673,16736,1
366,16837,0
374,16921,0
445,17233,2
621,17233,1
624,17246,1
624,17776,1
384,17883,1
632,18092,1
671,18333,2
413,18380,0
314,18425,0
315,18562,0
696,18676,0
431,19151,1
438,19170,1
390,19397,1
326,19436,1
368,20495,1
335,20785,1
304,20833,1
347,20833,1
326,20844,1
664,20884,1
657,20888,1
405,21066,1
406,21383,1
673,21409,1
413,22199,0
410,22307,1
308,22368,0
624,22839,0
645,22874,1
335,22889,1
425,23027,1
413,23160,0
310,23405,0
301,23487,2
326,23593,2
366,24271,0
661,24320,0
369,24320,0
334,24487,1
673,24526,1
697,24548,0
439,24735,1
348,25543,1
394,25652,1
332,25663,2
650,25663,1
450,25863,1
328,25875,2
424,25944,0
448,25954,0
430,25974,1
632,26381,0
384,26822,1
342,26973,2
322,27788,1
419,27967,2
324,28204,1
355,28217,1
625,28658,0
313,28666,2
625,28787,1
406,28856,1
341,29197,1
326,29623,1
421,29777,1
614,30074,1
618,30546,1
406,30836,2
347,30859,1
305,31400,1
389,31766,1
623,31815,1
689,32035,1
435,32035,1
347,32106,1
424,32108,1
351,32116,1
340,32679,1
389,32852,1
427,33429,1
698,33595,1
663,33967,1
624,34075,1
343,34099,1
306,34257,2
397,34512,1
672,34569,1
413,34795,1
357,35199,1
450,35221,1
421,35284,1
343,35460,1
700,35529,1
687,35547,0
307,35583,1
610,35605,1
448,35787,0
648,35935,1
328,36112,1
303,36179,0
629,36588,1
618,36683,0
650,36715,1
328,36728,1
343,37051,1
322,37091,1
438,37337,0
